,0
0,-143.59445926386678
1,-117.31712499854406
2,-185.7185264232417
3,-294.18683603990905
4,-225.48721815408433
5,-160.20436339151806
6,-419.17046086919686
7,-819.419816351335
8,-107.0604314372573
9,-288.13119086254915
10,-113.11781383346623
11,-566.773694988437
12,-524.0729907973193
13,-206.29673254765777
14,-302.39769683544307
15,-96.74404540034143
16,-357.8576898402948
17,-331.7136928258278
18,-402.28325729104813
19,-50.430925181994326
20,-175.1787742855259
21,-279.0835135794873
22,-338.0379648779756
23,-154.81501369411154
24,-121.8869196560326
25,-179.20076872937034
26,-545.4968183638501
27,-117.87770142290927
28,-94.5536541736994
29,-476.17750974879976
30,-289.02791316108664
31,-285.5832089737604
32,-154.72462711298704
33,-243.6390701915354
34,-239.3247864021425
35,-200.3107800997498
36,-472.4975126078294
37,-323.93880043550246
38,-404.22144819399676
39,-236.88458809840887
40,-552.6214621121258
41,-411.3424140158159
42,-320.40065936689246
43,-160.79921518273125
44,-332.0852696187761
45,-119.29816386572163
46,-191.97565447487034
47,-144.49611465901657
48,-367.5674996169107
49,-341.3198876724416
50,-153.59280042274452
51,-457.5692193917086
52,-444.54220017473165
53,-198.82086639972204
54,-482.05652840788133
55,-194.64722028354825
56,-268.7359638332351
57,-424.64917286345934
58,-249.710967438879
59,-287.32173274219986
60,-144.04366776937167
61,-134.06642351892805
62,-522.0836762107516
63,-332.41228021269785
64,-595.3648300777397
65,-332.33638850917924
66,-298.5214416859741
67,-275.6177004892713
68,-404.31464849872935
69,-262.6556593264437
70,-181.86212497467068
71,-350.493225219149
72,-389.30978227899953
73,-261.39547170007734
74,-266.1911484558033
75,-465.597551195389
76,-302.28240749913084
77,-196.2007069349122
78,-309.43839697648326
79,-235.54971342292615
80,-188.41338968867416
81,-177.80197816507462
82,-349.1277301469752
83,-182.23562053415574
84,-97.89837771201204
85,-178.43617381622266
86,-85.54679534960185
87,-124.64808099193077
88,-173.47068985797722
89,6.012933391363717
90,-257.52234282031134
91,-214.6621055326214
92,-276.06849147604504
93,-556.160086524585
94,-247.2412863930832
95,-236.31726957783738
96,-182.52865503165154
97,-151.60234032403582
98,-393.33499240634364
99,-274.9513628888153
100,-368.8625946792398
101,-172.12386971484582
102,-374.44934998854035
103,-252.18670082275978
104,-309.5292189269551
105,-19.167602985499244
106,-216.36108939470307
107,-175.27287614824684
108,-221.50631610675555
109,-244.35256101224059
110,-289.0457906404081
111,-441.8336237455645
112,-367.77688603929033
