,0
0,-200.0
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-200.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-200.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-200.0
65,-200.0
66,-200.0
67,-200.0
68,-200.0
69,-200.0
70,-200.0
71,-200.0
72,-200.0
73,-200.0
74,-200.0
75,-200.0
76,-200.0
77,-200.0
78,-200.0
79,-200.0
80,-200.0
81,-200.0
82,-200.0
83,-200.0
84,-200.0
85,-200.0
86,-200.0
87,-200.0
88,-200.0
89,-200.0
90,-200.0
91,-200.0
92,-200.0
93,-200.0
94,-200.0
95,-190.0
96,-200.0
97,-200.0
98,-200.0
99,-200.0
100,-200.0
101,-200.0
102,-200.0
103,-200.0
104,-200.0
105,-200.0
106,-153.0
107,-200.0
108,-200.0
109,-156.0
110,-200.0
111,-200.0
112,-200.0
113,-169.0
114,-147.0
115,-200.0
116,-200.0
117,-200.0
118,-185.0
119,-166.0
120,-200.0
121,-200.0
122,-200.0
123,-200.0
124,-183.0
125,-183.0
126,-200.0
127,-200.0
128,-200.0
129,-200.0
130,-200.0
131,-200.0
132,-200.0
133,-200.0
134,-200.0
135,-200.0
136,-200.0
137,-185.0
138,-200.0
139,-159.0
140,-168.0
141,-171.0
142,-172.0
143,-143.0
144,-200.0
145,-199.0
146,-200.0
147,-156.0
148,-200.0
149,-172.0
150,-161.0
151,-162.0
152,-125.0
153,-200.0
154,-164.0
155,-200.0
156,-173.0
157,-166.0
158,-148.0
159,-151.0
160,-172.0
161,-152.0
162,-154.0
163,-200.0
164,-126.0
165,-186.0
166,-200.0
167,-140.0
168,-158.0
169,-117.0
170,-118.0
171,-200.0
172,-159.0
173,-200.0
174,-200.0
175,-179.0
176,-152.0
177,-94.0
178,-196.0
179,-200.0
180,-200.0
181,-200.0
182,-200.0
183,-200.0
184,-146.0
185,-111.0
186,-152.0
187,-182.0
188,-165.0
189,-145.0
190,-155.0
191,-119.0
192,-200.0
193,-155.0
194,-200.0
195,-200.0
196,-158.0
197,-154.0
198,-179.0
199,-195.0
200,-200.0
201,-160.0
202,-200.0
203,-200.0
204,-200.0
205,-163.0
206,-175.0
207,-132.0
208,-133.0
209,-200.0
210,-141.0
211,-190.0
212,-200.0
213,-139.0
214,-154.0
215,-158.0
216,-126.0
217,-179.0
218,-200.0
219,-200.0
220,-150.0
221,-200.0
222,-200.0
223,-200.0
224,-161.0
225,-174.0
226,-200.0
227,-200.0
228,-200.0
229,-200.0
230,-137.0
231,-200.0
232,-163.0
233,-143.0
234,-200.0
235,-200.0
236,-152.0
237,-172.0
238,-161.0
239,-200.0
240,-200.0
241,-200.0
242,-200.0
243,-200.0
244,-200.0
245,-200.0
246,-200.0
247,-200.0
248,-200.0
249,-200.0
250,-153.0
251,-200.0
252,-200.0
253,-200.0
254,-200.0
255,-200.0
256,-182.0
257,-200.0
258,-200.0
259,-200.0
260,-199.0
261,-200.0
262,-163.0
263,-168.0
264,-200.0
265,-173.0
266,-194.0
267,-165.0
268,-157.0
269,-200.0
270,-121.0
271,-200.0
272,-129.0
273,-126.0
274,-161.0
275,-151.0
276,-116.0
277,-100.0
278,-94.0
279,-157.0
280,-164.0
281,-189.0
282,-153.0
283,-132.0
284,-150.0
285,-129.0
286,-149.0
287,-147.0
288,-121.0
289,-165.0
290,-160.0
291,-169.0
292,-156.0
293,-160.0
294,-151.0
295,-149.0
296,-154.0
297,-186.0
298,-200.0
299,-180.0
300,-186.0
301,-174.0
302,-127.0
303,-187.0
304,-172.0
305,-160.0
306,-128.0
307,-124.0
308,-112.0
309,-175.0
310,-164.0
311,-102.0
312,-156.0
313,-158.0
314,-144.0
315,-142.0
316,-116.0
317,-117.0
318,-187.0
319,-109.0
320,-137.0
321,-155.0
322,-146.0
323,-196.0
324,-200.0
325,-157.0
326,-168.0
327,-185.0
328,-149.0
329,-162.0
330,-156.0
331,-165.0
332,-200.0
333,-91.0
334,-133.0
335,-158.0
336,-137.0
337,-168.0
338,-144.0
339,-154.0
340,-158.0
341,-86.0
342,-155.0
343,-123.0
344,-169.0
345,-200.0
346,-149.0
347,-91.0
348,-165.0
349,-168.0
350,-116.0
351,-108.0
352,-145.0
353,-112.0
354,-111.0
355,-119.0
356,-119.0
357,-165.0
358,-187.0
359,-157.0
360,-96.0
361,-150.0
362,-139.0
363,-200.0
364,-175.0
365,-158.0
366,-200.0
367,-172.0
368,-166.0
369,-198.0
370,-109.0
371,-200.0
372,-153.0
373,-200.0
374,-200.0
375,-185.0
376,-172.0
377,-200.0
378,-176.0
379,-184.0
380,-123.0
381,-135.0
