,0
0,-200.0
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-200.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-176.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-200.0
65,-124.0
66,-165.0
67,-200.0
68,-200.0
69,-156.0
70,-127.0
71,-127.0
72,-148.0
73,-152.0
74,-164.0
75,-200.0
76,-200.0
77,-145.0
78,-200.0
79,-200.0
80,-200.0
81,-200.0
82,-192.0
83,-187.0
84,-171.0
85,-200.0
86,-200.0
87,-154.0
88,-200.0
89,-200.0
90,-200.0
91,-127.0
92,-200.0
93,-200.0
94,-200.0
95,-107.0
96,-171.0
97,-159.0
98,-160.0
99,-200.0
100,-200.0
101,-200.0
102,-167.0
103,-102.0
104,-153.0
105,-200.0
106,-154.0
107,-140.0
108,-200.0
109,-155.0
110,-133.0
111,-109.0
112,-200.0
113,-178.0
114,-115.0
115,-150.0
116,-140.0
117,-155.0
118,-200.0
119,-158.0
120,-183.0
121,-130.0
122,-161.0
123,-132.0
124,-200.0
125,-200.0
126,-200.0
127,-150.0
128,-182.0
129,-123.0
130,-200.0
131,-186.0
132,-148.0
133,-184.0
134,-200.0
135,-200.0
136,-129.0
137,-168.0
138,-191.0
139,-163.0
140,-159.0
141,-175.0
142,-170.0
143,-200.0
144,-200.0
145,-188.0
146,-186.0
147,-177.0
148,-176.0
149,-200.0
150,-149.0
151,-165.0
152,-164.0
153,-138.0
154,-114.0
155,-155.0
156,-200.0
157,-164.0
158,-200.0
159,-163.0
160,-194.0
161,-200.0
162,-134.0
163,-200.0
164,-143.0
165,-149.0
166,-161.0
167,-168.0
168,-145.0
169,-173.0
170,-145.0
171,-173.0
172,-162.0
173,-128.0
174,-155.0
175,-197.0
176,-161.0
177,-168.0
178,-200.0
179,-143.0
180,-184.0
181,-92.0
182,-130.0
183,-195.0
184,-167.0
185,-115.0
186,-153.0
187,-158.0
188,-175.0
189,-164.0
190,-144.0
191,-200.0
192,-138.0
193,-130.0
194,-130.0
195,-191.0
196,-150.0
197,-200.0
198,-200.0
199,-200.0
200,-174.0
201,-159.0
202,-152.0
203,-170.0
204,-200.0
205,-200.0
206,-88.0
207,-151.0
208,-200.0
209,-200.0
210,-199.0
211,-166.0
212,-138.0
213,-142.0
214,-162.0
215,-154.0
216,-200.0
217,-187.0
218,-167.0
219,-160.0
220,-147.0
221,-200.0
222,-151.0
223,-145.0
224,-104.0
225,-165.0
226,-153.0
227,-147.0
228,-200.0
229,-157.0
230,-180.0
231,-200.0
232,-165.0
233,-198.0
234,-150.0
235,-157.0
236,-95.0
237,-200.0
238,-169.0
239,-157.0
240,-149.0
241,-147.0
242,-168.0
243,-174.0
244,-137.0
245,-186.0
246,-164.0
247,-200.0
248,-200.0
249,-200.0
250,-200.0
251,-154.0
252,-173.0
253,-147.0
254,-200.0
255,-200.0
256,-200.0
257,-200.0
258,-200.0
259,-197.0
260,-153.0
261,-200.0
262,-168.0
263,-159.0
264,-155.0
265,-149.0
266,-144.0
267,-200.0
268,-200.0
269,-154.0
270,-170.0
271,-140.0
272,-144.0
273,-155.0
274,-159.0
275,-181.0
276,-194.0
277,-200.0
278,-138.0
279,-191.0
280,-111.0
281,-200.0
282,-138.0
283,-160.0
284,-133.0
285,-164.0
286,-129.0
287,-133.0
288,-200.0
289,-200.0
290,-200.0
291,-95.0
292,-144.0
293,-120.0
294,-99.0
295,-161.0
296,-179.0
297,-159.0
298,-144.0
299,-200.0
300,-200.0
301,-200.0
302,-200.0
303,-164.0
304,-135.0
305,-160.0
306,-106.0
307,-193.0
308,-115.0
309,-171.0
310,-161.0
311,-145.0
312,-200.0
313,-166.0
314,-163.0
315,-144.0
316,-200.0
317,-182.0
318,-194.0
319,-148.0
320,-118.0
321,-118.0
322,-140.0
323,-184.0
324,-118.0
325,-168.0
326,-200.0
327,-157.0
328,-176.0
329,-172.0
330,-200.0
331,-200.0
332,-136.0
333,-166.0
334,-112.0
335,-127.0
336,-167.0
337,-147.0
338,-164.0
339,-179.0
340,-161.0
341,-171.0
342,-143.0
343,-200.0
344,-187.0
345,-124.0
346,-123.0
347,-166.0
348,-166.0
349,-164.0
350,-147.0
351,-150.0
352,-120.0
353,-129.0
354,-86.0
355,-182.0
356,-161.0
357,-141.0
358,-153.0
359,-163.0
360,-163.0
361,-181.0
362,-165.0
363,-170.0
364,-158.0
365,-178.0
366,-119.0
367,-94.0
368,-155.0
369,-150.0
370,-200.0
371,-169.0
372,-180.0
373,-156.0
374,-159.0
375,-147.0
376,-87.0
377,-182.0
378,-146.0
379,-200.0
380,-182.0
381,-147.0
