,0
0,-200.0
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-140.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-163.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-168.0
26,-150.0
27,-200.0
28,-191.0
29,-200.0
30,-200.0
31,-192.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-163.0
55,-200.0
56,-200.0
57,-172.0
58,-155.0
59,-123.0
60,-200.0
61,-178.0
62,-200.0
63,-200.0
64,-200.0
65,-200.0
66,-200.0
67,-200.0
68,-200.0
69,-200.0
70,-200.0
71,-200.0
72,-200.0
73,-200.0
74,-200.0
75,-200.0
76,-199.0
77,-170.0
78,-176.0
79,-188.0
80,-121.0
81,-175.0
82,-200.0
83,-200.0
84,-152.0
85,-200.0
86,-200.0
87,-200.0
88,-160.0
89,-173.0
90,-200.0
91,-167.0
92,-200.0
93,-200.0
94,-179.0
95,-200.0
96,-200.0
97,-200.0
98,-200.0
99,-200.0
100,-200.0
101,-200.0
102,-200.0
103,-200.0
104,-200.0
105,-200.0
106,-182.0
107,-200.0
108,-200.0
109,-200.0
110,-200.0
111,-186.0
112,-140.0
113,-200.0
114,-144.0
115,-200.0
116,-195.0
117,-152.0
118,-149.0
119,-200.0
120,-180.0
121,-139.0
122,-200.0
123,-200.0
124,-157.0
125,-179.0
126,-165.0
127,-150.0
128,-121.0
129,-200.0
130,-140.0
131,-152.0
132,-120.0
133,-126.0
134,-168.0
135,-160.0
136,-143.0
137,-168.0
138,-128.0
139,-119.0
140,-146.0
141,-154.0
142,-119.0
143,-133.0
144,-124.0
145,-110.0
146,-152.0
147,-155.0
148,-160.0
149,-148.0
150,-142.0
151,-119.0
152,-180.0
153,-200.0
154,-148.0
155,-200.0
156,-189.0
157,-179.0
158,-140.0
159,-125.0
160,-128.0
161,-86.0
162,-171.0
163,-124.0
164,-108.0
165,-149.0
166,-174.0
167,-164.0
168,-200.0
169,-175.0
170,-200.0
171,-200.0
172,-88.0
173,-176.0
174,-200.0
175,-172.0
176,-149.0
177,-179.0
178,-185.0
179,-157.0
180,-142.0
181,-95.0
182,-165.0
183,-166.0
184,-200.0
185,-154.0
186,-200.0
187,-128.0
188,-154.0
189,-159.0
190,-160.0
191,-200.0
192,-148.0
193,-200.0
194,-167.0
195,-157.0
196,-150.0
197,-200.0
198,-173.0
199,-192.0
200,-200.0
201,-170.0
202,-193.0
203,-170.0
204,-139.0
205,-200.0
206,-158.0
207,-200.0
208,-200.0
209,-200.0
210,-200.0
211,-200.0
212,-200.0
213,-200.0
214,-200.0
215,-200.0
216,-200.0
217,-200.0
218,-200.0
219,-200.0
220,-200.0
221,-200.0
222,-200.0
223,-200.0
224,-200.0
225,-161.0
226,-173.0
227,-200.0
228,-200.0
229,-172.0
230,-200.0
231,-118.0
232,-107.0
233,-200.0
234,-168.0
235,-200.0
236,-200.0
237,-160.0
238,-181.0
239,-177.0
240,-200.0
241,-200.0
242,-200.0
243,-200.0
244,-200.0
245,-200.0
246,-174.0
247,-167.0
248,-99.0
249,-200.0
250,-200.0
251,-200.0
252,-200.0
253,-200.0
254,-200.0
255,-200.0
256,-192.0
257,-155.0
258,-200.0
259,-154.0
260,-200.0
261,-200.0
262,-141.0
263,-153.0
264,-190.0
265,-169.0
266,-153.0
267,-200.0
268,-85.0
269,-163.0
270,-175.0
271,-200.0
272,-161.0
273,-170.0
274,-87.0
275,-170.0
276,-157.0
277,-169.0
278,-200.0
279,-176.0
280,-148.0
281,-152.0
282,-126.0
283,-157.0
284,-162.0
285,-161.0
286,-166.0
287,-161.0
288,-136.0
289,-149.0
290,-159.0
291,-166.0
292,-127.0
293,-151.0
294,-155.0
295,-154.0
296,-155.0
297,-171.0
298,-165.0
299,-148.0
300,-200.0
301,-200.0
302,-158.0
303,-148.0
304,-186.0
305,-176.0
306,-200.0
307,-116.0
308,-200.0
309,-88.0
310,-150.0
311,-152.0
312,-200.0
313,-200.0
314,-149.0
315,-141.0
316,-158.0
317,-173.0
318,-140.0
319,-200.0
320,-200.0
321,-200.0
322,-200.0
323,-153.0
324,-200.0
325,-114.0
326,-98.0
327,-131.0
328,-182.0
329,-145.0
330,-137.0
331,-152.0
332,-156.0
333,-162.0
334,-112.0
335,-200.0
336,-166.0
337,-163.0
338,-200.0
339,-149.0
340,-85.0
341,-93.0
342,-132.0
343,-137.0
344,-157.0
345,-118.0
346,-111.0
347,-151.0
348,-159.0
349,-188.0
350,-121.0
351,-154.0
352,-119.0
353,-162.0
354,-200.0
355,-155.0
356,-171.0
357,-200.0
358,-89.0
359,-172.0
360,-100.0
361,-166.0
362,-138.0
363,-177.0
364,-171.0
365,-130.0
366,-120.0
367,-166.0
368,-178.0
369,-179.0
370,-193.0
371,-200.0
372,-124.0
373,-200.0
374,-182.0
375,-200.0
376,-180.0
377,-176.0
378,-177.0
379,-116.0
380,-133.0
381,-166.0
