,0
0,-200.0
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-200.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-200.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-200.0
65,-200.0
66,-200.0
67,-200.0
68,-200.0
69,-200.0
70,-200.0
71,-200.0
72,-200.0
73,-200.0
74,-200.0
75,-200.0
76,-200.0
77,-200.0
78,-200.0
79,-200.0
80,-200.0
81,-200.0
82,-200.0
83,-200.0
84,-200.0
85,-200.0
86,-191.0
87,-163.0
88,-200.0
89,-200.0
90,-133.0
91,-200.0
92,-200.0
93,-200.0
94,-200.0
95,-200.0
96,-200.0
97,-177.0
98,-200.0
99,-200.0
100,-141.0
101,-200.0
102,-200.0
103,-200.0
104,-129.0
105,-200.0
106,-180.0
107,-200.0
108,-200.0
109,-88.0
110,-200.0
111,-199.0
112,-159.0
113,-172.0
114,-199.0
115,-163.0
116,-200.0
117,-166.0
118,-155.0
119,-169.0
120,-174.0
121,-200.0
122,-174.0
123,-175.0
124,-200.0
125,-168.0
126,-130.0
127,-161.0
128,-171.0
129,-120.0
130,-171.0
131,-200.0
132,-131.0
133,-142.0
134,-165.0
135,-154.0
136,-200.0
137,-200.0
138,-200.0
139,-161.0
140,-162.0
141,-161.0
142,-157.0
143,-200.0
144,-124.0
145,-200.0
146,-193.0
147,-106.0
148,-158.0
149,-164.0
150,-164.0
151,-200.0
152,-200.0
153,-200.0
154,-200.0
155,-170.0
156,-169.0
157,-134.0
158,-200.0
159,-145.0
160,-116.0
161,-169.0
162,-115.0
163,-167.0
164,-200.0
165,-149.0
166,-171.0
167,-200.0
168,-200.0
169,-200.0
170,-200.0
171,-128.0
172,-93.0
173,-106.0
174,-158.0
175,-172.0
176,-122.0
177,-142.0
178,-121.0
179,-156.0
180,-176.0
181,-156.0
182,-161.0
183,-112.0
184,-127.0
185,-117.0
186,-152.0
187,-171.0
188,-107.0
189,-166.0
190,-149.0
191,-159.0
192,-200.0
193,-136.0
194,-200.0
195,-153.0
196,-157.0
197,-130.0
198,-98.0
199,-88.0
200,-146.0
201,-154.0
202,-147.0
203,-147.0
204,-199.0
205,-200.0
206,-200.0
207,-131.0
208,-200.0
209,-192.0
210,-200.0
211,-168.0
212,-200.0
213,-99.0
214,-200.0
215,-162.0
216,-165.0
217,-150.0
218,-187.0
219,-154.0
220,-158.0
221,-160.0
222,-200.0
223,-199.0
224,-104.0
225,-200.0
226,-198.0
227,-200.0
228,-165.0
229,-161.0
230,-200.0
231,-200.0
232,-200.0
233,-172.0
234,-153.0
235,-143.0
236,-136.0
237,-200.0
238,-138.0
239,-162.0
240,-200.0
241,-134.0
242,-125.0
243,-142.0
244,-167.0
245,-161.0
246,-172.0
247,-200.0
248,-200.0
249,-166.0
250,-200.0
251,-200.0
252,-120.0
253,-165.0
254,-200.0
255,-163.0
256,-159.0
257,-166.0
258,-200.0
259,-200.0
260,-189.0
261,-128.0
262,-200.0
263,-155.0
264,-162.0
265,-200.0
266,-200.0
267,-156.0
268,-200.0
269,-161.0
270,-86.0
271,-114.0
272,-200.0
273,-134.0
274,-148.0
275,-200.0
276,-200.0
277,-169.0
278,-200.0
279,-182.0
280,-121.0
281,-133.0
282,-125.0
283,-165.0
284,-173.0
285,-184.0
286,-154.0
287,-149.0
288,-122.0
289,-133.0
290,-150.0
291,-129.0
292,-164.0
293,-114.0
294,-200.0
295,-200.0
296,-158.0
297,-140.0
298,-189.0
299,-120.0
300,-173.0
301,-112.0
302,-119.0
303,-173.0
304,-158.0
305,-86.0
306,-200.0
307,-132.0
308,-131.0
309,-199.0
310,-170.0
311,-165.0
312,-156.0
313,-159.0
314,-138.0
315,-163.0
316,-143.0
317,-131.0
318,-177.0
319,-149.0
320,-141.0
321,-123.0
322,-159.0
323,-141.0
324,-200.0
325,-140.0
326,-141.0
327,-124.0
328,-154.0
329,-155.0
330,-141.0
331,-176.0
332,-195.0
333,-171.0
334,-121.0
335,-176.0
336,-129.0
337,-144.0
338,-146.0
339,-88.0
340,-155.0
341,-155.0
342,-122.0
343,-143.0
344,-147.0
345,-149.0
346,-140.0
347,-117.0
348,-89.0
349,-186.0
350,-128.0
351,-155.0
352,-155.0
353,-166.0
354,-94.0
355,-159.0
356,-115.0
357,-127.0
358,-162.0
359,-189.0
360,-88.0
361,-166.0
362,-200.0
363,-150.0
364,-155.0
365,-158.0
366,-150.0
367,-87.0
368,-152.0
369,-130.0
370,-137.0
371,-150.0
372,-200.0
373,-175.0
374,-163.0
375,-133.0
376,-160.0
377,-158.0
378,-157.0
379,-126.0
380,-200.0
381,-182.0
